pl_orbper	st_mass	planet_mass	env_mass
3.6313	1.14	-13.163821883079994	-0.5265528753231997
3.6313	1.12	-14.63648641536388	-0.5854594566145552
5.1134	0.91	-4.148004487425236	-0.16592017949700946
11.759	0.91	-0.6554557227914364	-0.026218228911657454
4.20474	1.09	-11.897868513999729	-0.47591474055998917
3.57532	1.05	-3.7274641231457792	-0.14909856492583118
3.57532	1.05	-3.865413516282754	-0.15461654065131017
2.85057	0.97	-16.987202765945533	-0.6794881106378213
2.8505615	0.9	-17.34625098471053	-0.6938500393884212
4.2567994	1.36	-7.117442451088853	-0.2846976980435541
4.2568	1.37	-6.104001724182968	-0.24416006896731873
9.06005	0.98	-5.095300442034884	-0.20381201768139537
5.616531	1.32	-3.3472157606545943	-0.13388863042618376
9.20205	1.16	-3.585338873480099	-0.14341355493920396
4.0379156	0.99	-6.229976417962601	-0.24919905671850406
4.0378962	1.0	-13.096648004826712	-0.5238659201930684
8.886593	1.05	-1.0077674116787088	-0.04031069646714835
0.8535	0.92	-4.928923320502412	-0.1971569328200965
0.85359163	0.82	-17.85889778841475	-0.7143559115365901
0.853585	0.88	-12.241428511414405	-0.4896571404565762
0.85359159	0.91	-15.139146896695022	-0.6055658758678009
0.853585	0.9	-9.342838326077297	-0.3737135330430919
3.698	0.9	-3.0474950140500985	-0.12189980056200395
8.966	0.92	-10.564934831195501	-0.42259739324782003
95.272656	0.96	-9.343592218010329	-0.3737436887204132
6.7183678	1.08	-8.994534439737581	-0.35978137758950324
2.882	1.21	-7.826110829994583	-0.3130444331997833
5.516	1.21	-10.79608951270347	-0.43184358050813876
5.2072	1.44	-12.674454871677296	-0.5069781948670918
3.4982	1.25	-20.648964103514775	-0.825958564140591
10220.0	0.69	-5.923628840707184	-0.23694515362828736
8.138268	1.01	-3.2871183690782964	-0.13148473476313186
6.7987	0.29	-4.749738514918942	-0.18998954059675768
28.1656	0.41	-21.492824739550294	-0.8597129895820118
2.13174	0.78	-2.6229768848054826	-0.10491907539221931
0.87724	0.96	-22.770345520270364	-0.9108138208108146
2.0478	0.73	-20.080867651077167	-0.8032347060430867
4.1698	0.8	-2.163770982540484	-0.08655083930161936
8.050722	0.88	-7.179991340829493	-0.28719965363317973
2.87814	0.22	-6.623192003549365	-0.2649276801419746
2.25372	0.41	-1.7484625740833817	-0.06993850296333527
17.515472	0.83	-7.068954681432871	-0.28275818725731483
21.1595	0.59	-8.677808469540969	-0.3471123387816388
21.1701963	0.62	-14.432424925716015	-0.5772969970286406
19.50735025	1.16	-17.551903292449506	-0.7020761316979802
19.49221	1.17	-26.43334809039659	-1.0573339236158636
19.49213	1.18	-14.113695030040772	-0.5645478012016308
19.491	1.16	-4.030931780466619	-0.16123727121866477
5.213	0.83	-7.43706182595468	-0.2974824730381872
18.0983	1.11	-14.158228510491917	-0.5663291404196766
15.28078	0.99	-8.301375928093194	-0.33205503712372775
23.24110566	1.13	-16.896631473186787	-0.6758652589274715
13.603	0.69	-3.3767192417816023	-0.1350687696712641
13.603	0.72	-5.6169927504050605	-0.22467971001620243
0.70531	0.94	-9.576615539726753	-0.3830646215890701
0.571331	0.97	-1.9171743203907556	-0.07668697281563022
0.571292	0.94	-0.9924240067732126	-0.039696960270928505
0.571299	0.97	-18.266769134523443	-0.7306707653809378
0.571	0.9	-18.89929403123557	-0.7559717612494228
0.571308	0.93	-0.9885629760002326	-0.03954251904000931
0.571292	0.95	-4.5721174546038785	-0.18288469818415515
13.3397	0.94	-13.980482646613432	-0.5592193058645373
13.339746	0.97	-5.349737452207313	-0.2139894980882925
13.3397	0.95	-27.70055976703696	-1.1080223906814783
13.3387	0.92	-20.244871183055842	-0.8097948473222337
0.72813	0.42	-25.365760584968548	-1.014630423398742
16.13655	1.07	-1.4128781722484924	-0.0565151268899397
6.180235	1.32	-21.803089520790937	-0.8721235808316375
6.1802679	1.32	-0.5443381316911615	-0.021773525267646462
3650.0	0.9	-12.475281886901321	-0.49901127547605284
