pl_orbper	st_mass	planet_mass	env_mass
95.2738	0.96	-4.434313886485419	-0.17737255545941674
6.7183678	1.08	-8.478178322004085	-0.33912713288016344
4098.1	0.51	-9.902510681268373	-0.3961004272507349
18.57	1.21	-3.504736334241156	-0.14018945336964625
2.882	1.21	-5.435904558190201	-0.21743618232760803
6.6732	0.87	-7.970901770043722	-0.31883607080174886
10220.0	0.69	-11.246354935756404	-0.4498541974302562
8.1387	0.96	-15.55709326131872	-0.6222837304527488
6.7987	0.29	-5.912995820194858	-0.23651983280779434
28.1656	0.41	-9.280777451690469	-0.3712310980676187
2.13174	0.78	-13.108553294953097	-0.524342131798124
0.87703	1.02	-4.47881749278344	-0.1791526997113376
2.71578	0.67	-8.717536834385337	-0.34870147337541346
2.0478	0.73	-1.1779156976145977	-0.04711662790458391
4.16959	0.8	-12.951117966230967	-0.5180447186492387
8.050722	0.88	-27.28317217184818	-1.0913268868739272
8.0468	0.91	-12.833314888248156	-0.5133325955299263
4.50756	0.93	-16.490983995003916	-0.6596393598001566
1.58252	0.71	-26.140918246453374	-1.045636729858135
17.515472	0.83	-1.5699482472360042	-0.06279792988944018
21.169619	0.61	-5.275936153804853	-0.21103744615219414
21.1595	0.59	-7.52772027348948	-0.3011088109395792
5.213	0.83	-3.684229676648888	-0.1473691870659555
5.213965	0.83	-1.3689168261077662	-0.05475667304431065
18.0983	1.11	-22.268092508058505	-0.8907237003223402
15.2841	0.95	-15.56423071653815	-0.622569228661526
23.228555	0.99	-6.086386409056717	-0.24345545636226867
23.24110566	1.13	-15.136554187752976	-0.605462167510119
23.226	1.13	-10.636081329078882	-0.4254432531631553
13.603	0.72	-2.297227161146468	-0.09188908644585872
65.55	0.69	-14.229677857131097	-0.5691871142852439
0.70531	0.94	-5.7603695213537485	-0.23041478085414993
0.571292	0.94	-4.374235520211078	-0.17496942080844313
0.571299	0.97	-12.225707408932067	-0.4890282963572827
0.571	0.9	-10.270155317680334	-0.4108062127072134
0.571292	0.95	-4.960535389166879	-0.19842141556667517
13.339079	0.97	-9.54244259055243	-0.3816977036220972
13.341245	0.93	-3.261898434444405	-0.13047593737777619
16.13655	1.07	-5.145809978505337	-0.20583239914021348
6.1802679	1.32	-6.068786396320444	-0.24275145585281777
3650.0	0.9	-24.213375923911997	-0.9685350369564799
15.624	1.05	-8.397309452483883	-0.33589237809935535
35.747	1.05	-10.718544067805286	-0.4287417627122115
2.30538	0.3	-2.24508778059519	-0.0898035112238076
5.7459996	0.29	-7.548475086782826	-0.301939003471313
5.7459982	0.3	-21.67388418353829	-0.8669553673415317
10.3465	0.12	-8.632314318560153	-0.34529257274240616
21.202	0.12	-6.0861940099596765	-0.24344776039838706
3.204	0.12	-18.01584780779507	-0.7206339123118027
6.689	0.12	-7.680234224681081	-0.30720936898724327
13.031	0.12	-14.691765432785848	-0.587670617311434
1.62892911	0.19	-3.1727668817417864	-0.12691067526967145
1.62893	0.18	-8.49806203957396	-0.3399224815829584
1.6289287	0.18	-5.1738996537376245	-0.20695598614950497
1.6289304	0.18	-4.569353596065739	-0.18277414384262958
41.375	0.37	-17.562421399872242	-0.7024968559948898
535.9	0.37	-1.8197622459566447	-0.07279048983826579
532.58	0.34	-1.5312234401783142	-0.06124893760713257
1.58040457	0.16	-7.104348947049663	-0.2841739578819865
1.58040454	0.16	-9.861659678298247	-0.3944663871319299
1.58040433	0.18	-6.70669655323893	-0.2682678621295572
1.58040417	0.18	-2.3957780667263613	-0.09583112266905446
1.58040835	0.18	-17.41014800129585	-0.696405920051834
1.58040482	0.16	-8.33662959080519	-0.3334651836322076
1.58040487	0.15	-3.891762872256197	-0.15567051489024789
1.5804049	0.16	-6.324452671497491	-0.25297810685989963
0.5182331	0.38	-16.89583468267295	-0.6758333873069181
0.5182464	0.38	-2.4058823650876624	-0.0962352946035065
3.6511	0.18	-15.13848529540524	-0.6055394118162096
35.589	0.76	-21.969329040717668	-0.8787731616287067
11.4432	0.4	-10.876139807617829	-0.4350455923047132
2333.0	0.39	-8.131984618579608	-0.32527938474318435
2303.0	0.36	-0.6575742653295271	-0.026302970613181084
17.38	0.43	-3.477667631733127	-0.1391067052693251
106.3	0.43	-0.79123093589256	-0.0316492374357024
69.971	0.62	-17.663352314979086	-0.7065340925991634
526.115	0.58	-7.343756856977164	-0.29375027427908657
14.238	0.36	-4.217841471612697	-0.1687136588645079
18.6498	0.29	-6.8479090826640565	-0.27391636330656227
11.949	0.47	-0.95684397887273	-0.0382737591549092
1.22003	0.68	-8.654449445466158	-0.34617797781864634
5.974	0.68	-2.0847718492023186	-0.08339087396809275
257.8	0.68	-9.937355088335392	-0.3974942035334157
692.0	0.42	-1.9382331715689172	-0.0775293268627567
692.9	0.26	-14.818413777667088	-0.5927365511066836
695.36	0.45	-12.693116583215573	-0.507724663328623
5312.0	0.24	-7.866898520220934	-0.3146759408088374
6739.323	0.42	-4.159917637770294	-0.1663967055108118
10000.0	0.42	-5.862411178134801	-0.23449644712539205
10.66669	0.89	-0.46459937996741685	-0.018583975198696673
4100.0	0.69	-11.21932630234394	-0.4487730520937576
30.5987	0.42	-18.39120377219985	-0.7356481508879941
122.6196	0.42	-7.42949802066479	-0.2971799208265916
123.75	0.42	-19.768757082684946	-0.7907502833073978
48.1345	0.42	-1.1002401968301703	-0.04400960787320681
13.2543	0.42	-2.392304870133445	-0.0956921948053378
40.54	0.16	-5.720843724049944	-0.22883374896199776
14.207	0.47	-3.96818576019327	-0.15872743040773082
24.45	0.64	-1.3301663670359956	-0.05320665468143982
3.336665	0.5	-10.630428593620593	-0.4252171437448237
3.33714	0.54	-2.664720496910097	-0.10658881987640388
3.336649	0.51	-2.2709108150268023	-0.09083643260107209
3.3366487	0.51	-8.637240264318683	-0.3454896105727473
3.336649	0.5	-12.068337176404501	-0.4827334870561801
3.33665	0.54	-18.17594578254026	-0.7270378313016105
1.1980035	0.36	-4.255446891662674	-0.17021787566650698
15.509	0.36	-9.396399058490127	-0.3758559623396051
203.69	0.12	-13.511900367245318	-0.5404760146898128
3.930623	0.34	-5.435620933987332	-0.21742483735949328
3.93072	0.34	-18.5334018063883	-0.7413360722555321
3.9306	0.34	-0.30108731969191077	-0.01204349278767643
55.661	0.34	-5.229147827093676	-0.20916591308374707
2.64561	0.45	-4.1586926434441125	-0.1663477057377645
0.321962	0.45	-4.616804230908551	-0.18467216923634205
2.6162745	0.31	-5.672340624277474	-0.22689362497109897
2.616235	0.31	-12.30611478489974	-0.49224459139598964
15.04	0.31	-32.505926330725856	-1.3002370532290344
7.02679	0.43	-0.32719375104568005	-0.013087750041827202
6.905	0.63	-7.1711650328522225	-0.2868466013140889
13.74	0.5	-1.648848626580707	-0.06595394506322828
12.9382	0.39	-6.4329506406447345	-0.25731802562578937
50.8	0.65	-5.675764463972947	-0.2270305785589179
51.625	0.69	-2.886883620326931	-0.11547534481307724
744.7	0.69	-3.1515350673981097	-0.1260614026959244
26.161	0.35	-18.318251694531035	-0.7327300677812414
20.129	0.35	-3.452776548039649	-0.13811106192158595
7.3709	0.59	-8.016902573140122	-0.3206761029256049
7.3705	0.48	-12.65620549074065	-0.506248219629626
7.3697	0.48	-3.5792796540316574	-0.1431711861612663
3400.0	0.48	-11.85760898426284	-0.4743043593705136
2.644	0.42	-9.988750955942672	-0.3995500382377069
2.64385	0.45	-10.541283380474269	-0.42165133521897075
2.64389751	0.45	-10.235668002855766	-0.40942672011423065
2.643943	0.42	-6.6551089225124915	-0.26620435690049965
2.64389803	0.45	-7.245071128322594	-0.2898028451329038
2.6441	0.41	-5.090427872215072	-0.20361711488860287
2.64385	0.44	-5.944560087315839	-0.23778240349263358
2.6438979	0.45	-15.637894273768175	-0.6255157709507271
2.643859	0.42	-17.71581036715447	-0.7086324146861789
2.64388312	0.47	-10.84938431237521	-0.43397537249500845
