stellar_mass	planet_mass	env_mass
1.17	-1.1501336452156294	-0.04600534580862518
0.88	-5.528414273352803	-0.22113657093411213
1.05	-7.059305333583412	-0.28237221334333645
0.75	-8.527050010540652	-0.34108200042162606
1.05	-12.58338690845742	-0.5033354763382968
0.52	-3.2281321400996736	-0.12912528560398695
0.92	-23.694585247202237	-0.9477834098880895
1.31	-6.3052694126344635	-0.25221077650537854
0.86	-6.922069025159455	-0.2768827610063782
1.06	-0.7926229850461559	-0.031704919401846235
0.57	-8.153703102617447	-0.3261481241046979
1.0	-12.733446821670736	-0.5093378728668294
0.95	-11.172473444793454	-0.44689893779173817
0.54	-2.5922861628151774	-0.1036914465126071
0.98	-25.290271782905556	-1.0116108713162222
1.07	-5.494740282839427	-0.21978961131357708
0.99	-7.13804537722253	-0.2855218150889012
0.92	-4.05658746091533	-0.16226349843661322
0.48	-0.11679689070966792	-0.004671875628386717
0.84	-11.841783816782154	-0.4736713526712862
0.97	-18.312659097995738	-0.7325063639198295
1.26	-17.47532048164916	-0.6990128192659664
0.93	-16.612182831908807	-0.6644873132763524
1.02	-9.954111373652276	-0.39816445494609104
1.11	-19.901115005903637	-0.7960446002361455
0.56	-13.683763749487834	-0.5473505499795134
0.99	-15.300927183668012	-0.6120370873467205
0.95	-8.642745398377006	-0.3457098159350802
1.12	-1.8190133993585955	-0.07276053597434383
0.92	-11.451549902622943	-0.45806199610491777
0.95	-3.932047520072214	-0.15728190080288856
0.99	-9.231656484975968	-0.36926625939903873
0.91	-8.823121632102115	-0.3529248652840846
0.97	-4.290945770747533	-0.17163783082990133
1.06	-3.880993518783619	-0.15523974075134475
0.76	-11.440073145865085	-0.45760292583460344
1.08	-2.3905263194438815	-0.09562105277775526
0.58	-14.726190183760508	-0.5890476073504204
0.35	-31.99833260357107	-1.2799333041428427
1.12	-0.28224250183072064	-0.011289700073228826
1.03	-4.023921693176202	-0.1609568677270481
1.11	-2.2948706806672625	-0.09179482722669051
0.89	-26.92949586262407	-1.0771798345049628
0.96	-0.10324269109881579	-0.0041297076439526315
0.99	-10.529924519920172	-0.4211969807968069
1.27	-7.020089227579316	-0.28080356910317267
